Match type,Search term,Added/Excluded,Campaign,Ad group,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,View-through conv.,Conv. value / cost (opt.),Converted clicks,Conv. (opt.),Keyword
phrase,general motors reflector 22612756,None,GM makes,GM keywords,1,1,100.00%,0.26,0.26,2.0,2,0.13,200.00%,0,30.35,1,2,+general +motors
broad,gm 12346500,None,GM makes,GM keywords,0,1,0.00%,0.00,0.00,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,parts diagram for 1996 saturn sl1 transmission pan gasket,None,Saturn,previous keywords,1,1,100.00%,0.31,0.31,4.0,0,0.00,0.00%,0,0.0,0,0,+Saturn +parts
broad (session-based),1997 gmc safari engine,None,GM makes,GMC keywords,1,1,100.00%,0.27,0.27,6.0,0,0.00,0.00%,0,0.0,0,0,gmc auto parts
broad,2003 saturn l300 parts,None,Saturn,previous keywords,1,3,33.33%,0.31,0.31,1.7,0,0.00,0.00%,0,0.0,0,0,+Saturn +parts
broad,hub caps for saturn,None,Saturn,previous keywords,1,1,100.00%,0.28,0.28,4.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad (session-based),gm 462813,None,GM makes,GM keywords,1,1,100.00%,0.06,0.06,6.0,0,0.00,0.00%,0,0.0,0,0,gm parts
broad,saturn dealership,None,Saturn,previous keywords,0,1,0.00%,0.00,0.00,5.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad (session-based),saturn dealership,None,Saturn,previous keywords,0,2,0.00%,0.00,0.00,3.5,0,0.00,0.00%,0,0.0,0,0,saturn parts online
broad,2004 silverado transmission valve body 4l60e part number 4216995,None,GM makes,GM keywords,1,1,100.00%,0.27,0.27,3.0,0,0.00,0.00%,0,0.0,0,0,"gm ""part number"""
broad,2002 chevy impala ignition switch,None,GM makes,Chevy keywords,0,1,0.00%,0.00,0.00,8.0,0,0.00,0.00%,0,0.0,0,0,chevy impala parts
broad,saturn washer reservoir,None,Saturn,previous keywords,0,1,0.00%,0.00,0.00,1.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad (session-based),part number 10953509 on amazon,None,GM makes,GMC keywords,1,1,100.00%,0.06,0.06,3.0,0,0.00,0.00%,0,0.0,0,0,gmc part number
phrase,saturn part 15817767,None,Saturn,previous keywords,1,3,33.33%,0.27,0.27,2.7,0,0.00,0.00%,0,0.0,0,0,"""Saturn part"""
broad,gm factory wheels sale,None,GM makes,GM keywords,1,2,50.00%,0.45,0.45,8.0,0,0.00,0.00%,0,0.0,0,0,genuine gm parts
broad,gm 26060524,None,GM makes,GM keywords,1,1,100.00%,0.02,0.02,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,air conditioner compresor l200 saturn 2005,None,Saturn,previous keywords,1,1,100.00%,0.15,0.15,4.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,impala ss parts,None,GM makes,Chevy keywords,0,12,0.00%,0.00,0.00,3.8,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,1554910 gm grill,None,GM makes,GM keywords,1,2,50.00%,0.25,0.25,2.0,0,0.00,0.00%,0,0.0,0,0,gm parts
broad,pontiac vibe power window panel,None,GM makes,Pontiac keywords,1,2,50.00%,0.35,0.35,3.0,0,0.00,0.00%,0,0.0,0,0,pontiac vibe parts
broad,ratio control sloenoid for saturn vue,None,Saturn,previous keywords,1,1,100.00%,0.32,0.32,4.0,0,0.00,0.00%,0,0.0,0,0,saturn vue parts
broad,15944629 gm grille,None,GM makes,GM keywords,1,1,100.00%,0.18,0.18,3.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,saturn ion seats,None,Saturn,previous keywords,1,4,25.00%,0.28,0.28,1.5,0,0.00,0.00%,0,0.0,0,0,saturn ion parts
broad,2004 gmc topkick c7500 instruments gauge parts,None,GM makes,GMC keywords,1,1,100.00%,0.22,0.22,3.0,0,0.00,0.00%,0,0.0,0,0,+gmc +parts
broad,gm 25739023,None,GM makes,GM keywords,1,2,50.00%,0.07,0.07,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,93 saturn sc2 engine cradle for sale,None,Saturn,previous keywords,1,1,100.00%,0.24,0.24,2.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,gm 2007 saturn outlook nav manual 15250619a,None,GM makes,GM keywords,1,2,50.00%,0.18,0.18,6.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,trunk latch 1999 chevy caviler other parts,None,GM makes,Chevy keywords,1,1,100.00%,0.18,0.18,7.0,0,0.00,0.00%,0,0.0,0,0,+chevy +parts
broad,gm 20983937,None,GM makes,GM keywords,0,1,0.00%,0.00,0.00,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
phrase,gmc parts by vin number,None,GM makes,GMC keywords,0,3,0.00%,0.00,0.00,5.0,0,0.00,0.00%,0,0.0,0,0,"""gmc parts"""
broad,2001 chevy impala engine diagram,None,GM makes,Chevy keywords,0,1,0.00%,0.00,0.00,5.0,0,0.00,0.00%,0,0.0,0,0,chevy impala parts
broad,2002 gmc envoy rear wiper arm,None,GM makes,GMC keywords,0,1,0.00%,0.00,0.00,11.0,0,0.00,0.00%,0,0.0,0,0,gmc envoy parts
broad,gm 20905645,None,GM makes,GM keywords,1,1,100.00%,0.13,0.13,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2008 saturn aura parts,None,Saturn,previous keywords,1,4,25.00%,0.14,0.14,2.8,0,0.00,0.00%,0,0.0,0,0,"saturn ""part #"""
broad,2005 chevy cobalt throttle body,None,GM makes,Chevy keywords,0,12,0.00%,0.00,0.00,3.9,0,0.00,0.00%,0,0.0,0,0,chevy body parts
broad,saturn oem parts,None,Saturn,previous keywords,2,22,9.09%,0.33,0.66,3.1,0,0.00,0.00%,0,0.0,0,0,saturn car parts
broad,gm accessories of chicago,None,GM makes,GM keywords,0,1,0.00%,0.00,0.00,5.0,0,0.00,0.00%,0,0.0,0,0,gm parts
broad,orginal gm 2002 oem silverado tail light lens,None,GM makes,GM keywords,1,3,33.33%,0.25,0.25,2.3,0,0.00,0.00%,0,0.0,0,0,gm parts
broad,gm 19119330,None,GM makes,GM keywords,1,2,50.00%,0.20,0.20,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,kicker gm,None,GM makes,GM keywords,1,1,100.00%,0.25,0.25,3.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm 10088126,None,GM makes,GM keywords,1,2,50.00%,0.25,0.25,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2005 chevy avalanche 1500 assist handle,None,GM makes,Chevy keywords,1,2,50.00%,0.22,0.22,2.5,0,0.00,0.00%,0,0.0,0,0,chevy avalanche parts
broad,19330118 gm,None,GM makes,GM keywords,1,2,50.00%,0.01,0.01,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2008 gmc yukon body side molding,None,GM makes,GMC keywords,1,1,100.00%,0.23,0.23,4.0,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,gm 5691676,None,GM makes,GM keywords,1,4,25.00%,0.06,0.06,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm gaz,None,GM makes,GM keywords,1,1,100.00%,0.13,0.13,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,chevrolet retractable bed step part 22799283 installation instructions,None,GM makes,Chevy keywords,1,2,50.00%,0.12,0.12,3.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
phrase,oem pontiac parts,None,GM makes,Pontiac keywords,2,17,11.76%,0.20,0.39,2.6,0,0.00,0.00%,0,0.0,0,0,+pontiac +parts
broad,2003 chevy astro cmponants,None,GM makes,Chevy keywords,1,1,100.00%,0.16,0.16,2.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,1999 chevy silverado front seats,None,GM makes,Chevy keywords,1,2,50.00%,0.24,0.24,3.0,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,engine air filter for 2011gmc acadia,None,GM makes,GMC keywords,1,2,50.00%,0.44,0.44,4.0,0,0.00,0.00%,0,0.0,0,0,gmc acadia parts
broad,96 saturn sl1 door lock,None,Saturn,previous keywords,1,2,50.00%,0.27,0.27,1.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,10018166 gm,None,GM makes,GM keywords,1,1,100.00%,0.24,0.24,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,idler pulley shaft 98 saturn sc2,None,Saturn,previous keywords,1,3,33.33%,0.22,0.22,1.7,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,transmission bolts chevy camaro 2001 3.8 liter,None,GM makes,Chevy keywords,1,1,100.00%,0.17,0.17,2.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,1999 chevy tahoe for parts,None,GM makes,Chevy keywords,1,1,100.00%,0.21,0.21,11.0,0,0.00,0.00%,0,0.0,0,0,chevy auto parts
