Match type,Search term,Added/Excluded,Campaign,Ad group,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,View-through conv.,Conv. value / cost (opt.),Converted clicks,Conv. (opt.),Keyword
broad,2001 gmc sierra 5.3 spark plug wire set part number,None,GM makes,GMC keywords,1,1,100.00%,0.11,0.11,4.0,0,0.00,0.00%,0,0.0,0,0,gmc part number
broad,2008 chevy silverado power door lock actuator,None,GM makes,Chevy keywords,0,1,0.00%,0.00,0.00,2.0,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,2006 chevy impala throttle body,None,GM makes,Chevy keywords,1,6,16.67%,0.22,0.22,5.8,0,0.00,0.00%,0,0.0,0,0,chevy impala parts
broad,buick regal body parts,None,GM makes,GMC keywords,1,1,100.00%,0.37,0.37,7.0,0,0.00,0.00%,0,0.0,0,0,gmc auto parts
broad (session-based),0204083l61 part number for a rim,None,GM makes,GMC keywords,1,1,100.00%,0.20,0.20,3.0,0,0.00,0.00%,0,0.0,0,0,gmc part number
broad,gm nos parts,None,GM makes,GMC keywords,2,138,1.45%,0.26,0.52,5.1,0,0.00,0.00%,0,0.0,0,0,gmc part
broad,gmc yukon xl 2 row headrest,None,GM makes,GMC keywords,1,2,50.00%,0.30,0.30,2.5,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,2006 buick lucerne cxl parts,None,GM makes,GMC keywords,1,1,100.00%,0.40,0.40,3.0,0,0.00,0.00%,0,0.0,0,0,gmc auto parts
broad,install gm 22865590,None,GM makes,GM keywords,1,1,100.00%,0.21,0.21,4.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,upper and lower bushing 97 chevy,None,GM makes,Chevy keywords,1,1,100.00%,0.20,0.20,5.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,air ride compressor yukon denali oem,None,GM makes,GMC keywords,1,2,50.00%,0.39,0.39,3.0,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,manufacturer gm part number 25808976 part lower hose,None,GM makes,GM keywords,1,1,100.00%,0.32,0.32,2.0,0,0.00,0.00%,0,0.0,0,0,gm part number search
broad (session-based),part number 10444492 10290598,None,GM makes,GM keywords,1,1,100.00%,0.15,0.15,1.0,0,0.00,0.00%,0,0.0,0,0,"gm ""part number"""
broad,20 gmc yukon sierra denali chevy tahoe silverado oem wheels,None,GM makes,GMC keywords,1,1,100.00%,0.26,0.26,3.0,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,chevrolet certified parts,None,GM makes,GM keywords,1,1,100.00%,0.24,0.24,10.0,0,0.00,0.00%,0,0.0,0,0,gm part
broad,90 geo prizm right e brake gmt oem parts,None,GM makes,GM keywords,1,1,100.00%,0.10,0.10,3.0,0,0.00,0.00%,0,0.0,0,0,genuine gm parts
broad,3744956 gm,None,GM makes,GM keywords,1,1,100.00%,0.08,0.08,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,spare tire kit gm spare tire kit,None,GM makes,GM keywords,1,1,100.00%,0.29,0.29,2.0,0,0.00,0.00%,0,0.0,0,0,gm replacement parts
broad,where to buy oem buick seat foam,None,GM makes,GM keywords,1,1,100.00%,0.31,0.31,4.0,0,0.00,0.00%,0,0.0,0,0,gm oem parts
broad,2004 chevy tahoe catalytic converter oem,None,GM makes,Chevy keywords,2,2,100.00%,0.14,0.29,3.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,chevy 5.3 oil pressure sensor part number,None,GM makes,Chevy keywords,1,1,100.00%,0.27,0.27,2.0,0,0.00,0.00%,0,0.0,0,0,chevrolet part numbers
broad,chevrolet seats,None,GM makes,Chevy keywords,1,4,25.00%,0.23,0.23,5.8,0,0.00,0.00%,0,0.0,0,0,chevy parts
broad,rear seat latch 2005 chevy suburban,None,GM makes,Chevy keywords,1,1,100.00%,0.22,0.22,2.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,2003 chevy suburban heated seat element pad,None,GM makes,Chevy keywords,1,4,25.00%,0.43,0.43,5.3,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,2002 chevrolet trailblazer fuse block part,None,GM makes,Chevy keywords,1,1,100.00%,0.21,0.21,6.0,0,0.00,0.00%,0,0.0,0,0,chevy parts
broad (session-based),2003 chevy tahoe console,None,GM makes,Chevy keywords,1,1,100.00%,0.23,0.23,2.0,0,0.00,0.00%,0,0.0,0,0,chevy parts
broad,2007 tahoe rear control arm replacement,None,GM makes,Chevy keywords,1,2,50.00%,0.23,0.23,2.5,0,0.00,0.00%,0,0.0,0,0,chevy parts
broad,gm 12616692,None,GM makes,GM keywords,1,3,33.33%,0.03,0.03,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2007 saturn aura wiper arm,None,Saturn,previous keywords,0,1,0.00%,0.00,0.00,4.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,saturn pcv valve,None,Saturn,previous keywords,1,9,11.11%,0.24,0.24,2.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,2006 chevy colorado left rear fender,None,GM makes,Chevy keywords,1,1,100.00%,0.26,0.26,8.0,0,0.00,0.00%,0,0.0,0,0,chevy colorado parts
broad,chevy s10 parking brake assembly,None,GM makes,Chevy keywords,1,27,3.70%,0.20,0.20,1.5,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,g m head part number 6260482 and price,None,GM makes,Chevy keywords,2,2,100.00%,0.44,0.87,2.0,0,0.00,0.00%,0,0.0,0,0,chevrolet part numbers
broad,saturn vue seat,None,Saturn,previous keywords,1,3,33.33%,0.35,0.35,1.7,0,0.00,0.00%,0,0.0,0,0,saturn vue parts
broad,2003 saturn ion suspension spring,None,Saturn,previous keywords,1,1,100.00%,0.31,0.31,4.0,0,0.00,0.00%,0,0.0,0,0,saturn ion parts
broad,parts for 1997 suburban,None,GM makes,Chevy keywords,1,1,100.00%,0.34,0.34,4.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,saturn oem parts,None,Saturn,previous keywords,4,69,5.80%,0.30,1.19,2.7,0,0.00,0.00%,0,0.0,0,0,oem saturn parts
broad,07 saturn ion auto body parts,None,Saturn,previous keywords,1,1,100.00%,0.27,0.27,2.0,0,0.00,0.00%,0,0.0,0,0,+saturn +ion +parts
broad,chevy accessories,Added,GM makes,Chevy keywords,1,4,25.00%,0.26,0.26,10.5,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,2014 silverado texas fog lamps bezels,None,GM makes,Chevy keywords,1,1,100.00%,0.11,0.11,4.0,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad (session-based),chevy silverado column clockspring,None,GM makes,Chevy keywords,1,1,100.00%,0.23,0.23,2.0,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,saturn sl fender,None,Saturn,previous keywords,1,8,12.50%,0.16,0.16,2.1,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,saturn ion clutch bolts,None,Saturn,previous keywords,1,2,50.00%,0.31,0.31,1.0,0,0.00,0.00%,0,0.0,0,0,saturn ion parts
broad,chevy uplander seats,None,GM makes,Chevy keywords,1,6,16.67%,0.22,0.22,5.5,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,2008 chevrolet silverado 1500 center console lid replacement,None,GM makes,Chevy keywords,1,1,100.00%,0.17,0.17,3.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,gm part number 3945661 2,None,GM makes,Chevy keywords,2,1,200.00%,0.39,0.78,4.0,0,0.00,0.00%,0,0.0,0,0,chevrolet part numbers
broad,2004 chevy colorado spark plugs,None,GM makes,Chevy keywords,1,1,100.00%,0.39,0.39,4.0,0,0.00,0.00%,0,0.0,0,0,chevy colorado parts
broad,silverado new seat foam,None,GM makes,Chevy keywords,1,2,50.00%,0.25,0.25,2.0,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,2002 chevrolet silverado 2500hd parts,None,GM makes,Chevy keywords,0,3,0.00%,0.00,0.00,5.7,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,headrest 2001 chevy,None,GM makes,Chevy keywords,1,3,33.33%,0.21,0.21,3.7,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,door jamb switch 1996 saturn,None,Saturn,previous keywords,1,2,50.00%,0.24,0.24,4.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,parts breakdown for 2003 saturn l200,None,Saturn,previous keywords,1,1,100.00%,0.26,0.26,1.0,0,0.00,0.00%,0,0.0,0,0,+Saturn +parts
broad,1998 chevy truck parts,None,GM makes,GMC keywords,1,5,20.00%,0.35,0.35,6.0,0,0.00,0.00%,0,0.0,0,0,gmc auto parts
broad,parts for 2008 gmc yucon,None,GM makes,GMC keywords,1,1,100.00%,0.28,0.28,7.0,0,0.00,0.00%,0,0.0,0,0,gmc part
broad,2005 gmc yukon spare tire hoist,None,GM makes,GMC keywords,1,2,50.00%,0.36,0.36,1.5,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,2005 gm 5.3 l crate long block,None,GM makes,GM keywords,1,1,100.00%,0.22,0.22,3.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2002 cadillac escalade seat parts diagram,None,GM makes,GM keywords,1,1,100.00%,0.10,0.10,2.0,0,0.00,0.00%,0,0.0,0,0,gm parts
broad,gm 1581354,None,GM makes,GM keywords,1,1,100.00%,0.10,0.10,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad (session-based),part 15015538,None,GM makes,GMC keywords,1,1,100.00%,0.21,0.21,1.0,0,0.00,0.00%,0,0.0,0,0,gmc part
broad,armrest for a 09 gmc truck,None,GM makes,GMC keywords,1,1,100.00%,0.29,0.29,4.0,0,0.00,0.00%,0,0.0,0,0,gmc auto parts
broad,3.6 liter gmc crossover engine component breakdown,None,GM makes,GMC keywords,2,2,100.00%,0.38,0.76,6.0,0,0.00,0.00%,0,0.0,0,0,gmc acadia parts
phrase,02 gmc parts,None,GM makes,GMC keywords,1,1,100.00%,0.39,0.39,4.0,0,0.00,0.00%,0,0.0,0,0,"""gmc parts"""
broad,mr goodwrench parts,None,GM makes,GM keywords,2,13,15.38%,0.25,0.50,3.2,0,0.00,0.00%,0,0.0,0,0,genuine gm parts
broad,gm brake spring return,None,GM makes,GM keywords,1,13,7.69%,0.30,0.30,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm 3889915,None,GM makes,GM keywords,1,2,50.00%,0.01,0.01,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm new instrument cluster,None,GM makes,GM keywords,1,2,50.00%,0.21,0.21,5.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2002 impala headlamp adkustung screw,None,GM makes,Chevy keywords,1,1,100.00%,0.22,0.22,6.0,0,0.00,0.00%,0,0.0,0,0,chevy impala parts
broad,00370113 gm,None,GM makes,GM keywords,1,1,100.00%,0.29,0.29,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm part 88988320,None,GM makes,GMC keywords,1,2,50.00%,0.25,0.25,3.5,0,0.00,0.00%,0,0.0,0,0,gmc part
broad,2005 gmc envoy xl parts,None,GM makes,GMC keywords,1,2,50.00%,0.08,0.08,4.5,0,0.00,0.00%,0,0.0,0,0,gmc part
broad,gmc truck doors,None,GM makes,GMC keywords,1,11,9.09%,0.32,0.32,4.7,0,0.00,0.00%,0,0.0,0,0,gmc auto parts
broad,power seat switch chevrolet,None,GM makes,Chevy keywords,1,11,9.09%,0.22,0.22,2.1,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad,power seat switch chevrolet,None,GM makes,Chevy keywords,0,3,0.00%,0.00,0.00,1.3,0,0.00,0.00%,0,0.0,0,0,chevy parts
phrase,saturn part catalog,None,Saturn,previous keywords,1,1,100.00%,0.40,0.40,2.0,0,0.00,0.00%,0,0.0,0,0,"""Saturn part"""
broad,half right front axle prices for 95 saturn,None,Saturn,previous keywords,1,1,100.00%,0.24,0.24,3.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,gm part number brake pads 2008 suburban,None,GM makes,GM keywords,1,1,100.00%,0.26,0.26,3.0,0,0.00,0.00%,0,0.0,0,0,gm part number search
broad (session-based),2008 chevy malibu specs,None,GM makes,Chevy keywords,1,1,100.00%,0.17,0.17,8.0,0,0.00,0.00%,0,0.0,0,0,chevrolet parts
broad (session-based),chevy aveo dash board,None,GM makes,Chevy keywords,1,1,100.00%,0.22,0.22,3.0,0,0.00,0.00%,0,0.0,0,0,chevy parts
broad,2004 chevy tahoe parts,None,GM makes,Chevy keywords,0,2,0.00%,0.00,0.00,4.5,0,0.00,0.00%,0,0.0,0,0,+chevy +parts
broad,93 caprice interior parts,None,GM makes,Chevy keywords,1,1,100.00%,0.08,0.08,3.0,0,0.00,0.00%,0,0.0,0,0,chevy parts
broad,2007 chevy avalanche evap canister solenoid valve,None,GM makes,Chevy keywords,1,1,100.00%,0.22,0.22,6.0,0,0.00,0.00%,0,0.0,0,0,chevy avalanche parts
broad,99 suburban door latch,None,GM makes,Chevy keywords,1,2,50.00%,0.07,0.07,1.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,2001 chevy impala engine diagram,None,GM makes,Chevy keywords,1,1,100.00%,0.16,0.16,1.0,0,0.00,0.00%,0,0.0,0,0,chevy impala parts
broad,gm part number 26060737,None,GM makes,Chevy keywords,1,1,100.00%,0.15,0.15,2.0,0,0.00,0.00%,0,0.0,0,0,chevrolet part numbers
broad,saturn rear bumper,None,Saturn,previous keywords,1,16,6.25%,0.24,0.24,3.1,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,2000 cheve 1500 parts,None,GM makes,Chevy keywords,1,1,100.00%,0.20,0.20,4.0,0,0.00,0.00%,0,0.0,0,0,+chevy +parts
broad,front hood latch 2008 saturn vue,None,Saturn,previous keywords,1,1,100.00%,0.27,0.27,5.0,0,0.00,0.00%,0,0.0,0,0,saturn vue parts
broad,2004 chevy silverado drive axle,None,GM makes,Chevy keywords,1,1,100.00%,0.22,0.22,1.0,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,chevrolet silverado emblems,None,GM makes,Chevy keywords,0,1,0.00%,0.00,0.00,4.0,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,2005 chevy cobalt throttle body,None,GM makes,Chevy keywords,1,1,100.00%,0.21,0.21,8.0,0,0.00,0.00%,0,0.0,0,0,chevy body parts
broad,fuel pump 2004 suburban 1500,None,GM makes,Chevy keywords,0,1,0.00%,0.00,0.00,5.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,pontiac sunfire engine parts,None,GM makes,Pontiac keywords,1,1,100.00%,0.18,0.18,4.0,0,0.00,0.00%,0,0.0,0,0,pontiac Sunfire parts
broad,2008 saturn aura parts,None,Saturn,previous keywords,1,29,3.45%,0.34,0.34,3.4,0,0.00,0.00%,0,0.0,0,0,"saturn ""part #"""
broad,2004 chevy silverado stock fuel door,None,GM makes,Chevy keywords,1,1,100.00%,0.24,0.24,6.0,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,headlight switches cover 91 chevy,None,GM makes,GM keywords,1,1,100.00%,0.22,0.22,1.0,0,0.00,0.00%,0,0.0,0,0,gm parts
broad,throttle position sensor saturn,None,Saturn,previous keywords,0,6,0.00%,0.00,0.00,6.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,saturn 98 sw2 clucth kit,None,Saturn,previous keywords,1,2,50.00%,0.20,0.20,6.0,0,0.00,0.00%,0,0.0,0,0,saturn parts
broad,tumbler key 2004 chevy colorado,None,GM makes,Chevy keywords,1,1,100.00%,0.41,0.41,3.0,0,0.00,0.00%,0,0.0,0,0,chevy colorado parts
phrase,saturn vue parts diagrams,None,Saturn,previous keywords,1,1,100.00%,0.38,0.38,1.0,0,0.00,0.00%,0,0.0,0,0,"""Saturn vue parts"""
broad,gmc denali seats sale,None,GM makes,GMC keywords,1,1,100.00%,0.07,0.07,4.0,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
phrase,94 gmc parts,None,GM makes,GMC keywords,1,2,50.00%,0.11,0.11,3.5,0,0.00,0.00%,0,0.0,0,0,"""gmc parts"""
broad,oem 2002yukon denali console,None,GM makes,GMC keywords,1,1,100.00%,0.34,0.34,2.0,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,chevy inline six parts,None,GM makes,GMC keywords,1,1,100.00%,0.22,0.22,5.0,0,0.00,0.00%,0,0.0,0,0,gmc part
broad,gm 3rl slep yoke 6l80e,None,GM makes,GM keywords,1,6,16.67%,0.14,0.14,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,parts for 91 buick regal,None,GM makes,GM keywords,2,2,100.00%,0.24,0.47,3.5,0,0.00,0.00%,0,0.0,0,0,gm parts
broad,cam for 2003 3.4 gm,None,GM makes,GM keywords,1,2,50.00%,0.12,0.12,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm window switch,None,GM makes,GM keywords,1,28,3.57%,0.15,0.15,3.1,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm 10120928,None,GM makes,GM keywords,1,1,100.00%,0.06,0.06,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm 15709999,None,GM makes,GM keywords,1,1,100.00%,0.05,0.05,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,2003 gmc denali window regulator drivers side,None,GM makes,GMC keywords,1,1,100.00%,0.39,0.39,2.0,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,2007 gmc yukon instrument cluster oem,None,GM makes,GMC keywords,1,1,100.00%,0.16,0.16,1.0,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,gmc acadia 2007 transmission solenoid,None,GM makes,GMC keywords,1,4,25.00%,0.32,0.32,5.3,0,0.00,0.00%,0,0.0,0,0,gmc acadia parts
